号牌号码,罚款金额,记分值,违法时间,违法行为,违法地点,是否处理,缴款状态,号牌种类
浙HHW715,50,0,2020-06-08 17:15,机动车不按规定临时停车影响其他车辆和行人通行的,江山市区解放路解放路中山路路口至城中路路口路段,已处理,已交款,小型汽车
浙HHW715,100,2,2019-10-08 07:06,不按所需行进方向驶入导向车道的,鹿溪南路-环城南路路口西口,已处理,已交款,小型汽车
浙HHW715,50,0,2019-08-27 09:58,不按规定临时停车影响其他车辆和行人通行的,江山市四都镇（违停）,已处理,已交款,小型汽车
浙HHW715,100,3,2019-02-26 10:21,机动车违反禁令标志指示的,民声路江城北路,已处理,已交款,小型汽车
浙HHW715,100,3,2018-12-27 18:40,机动车违反禁止标线指示的,解放路-城中路北口,已处理,已交款,小型汽车
浙HHW715,50,0,2018-12-02 12:08,不按规定临时停车影响其他车辆和行人通行的,[西湖区]五常港路_五常港路紫霞街路口(西溪华府),已处理,已交款,小型汽车
浙HHW715,150,6,2018-06-09 14:51,驾驶机动车违反道路交通信号灯通行的,江山市站前大道凝秀北路口南口,已处理,已交款,小型汽车
浙HHW715,50,0,2018-05-21 14:54,不按规定临时停车影响其他车辆和行人通行的,江山市区鹿溪路(鹿溪路中山路路口至云宾路路口路段)人行道,已处理,已交款,小型汽车
浙HHW719,150,6,2020-01-01 10:04,驾驶机动车违反道路交通信号灯通行的,荷花五路与衢化路路口,已处理,已交款,小型汽车
浙HHW719,50,0,2019-12-27 21:41,不按规定临时停车影响其他车辆和行人通行的,百汇路与思源路路口违停球,已处理,已交款,小型汽车
浙HHW719,150,0,2019-12-27 09:02,不按规定停放影响其他车辆和行人通行的,乐园路(衢化路与五环路路段),已处理,已交款,小型汽车
浙HHW719,200,6,2019-11-29 18:54,驾驶中型以上载客载货汽车、校车、危险物品运输车辆以外的其他机动车行驶超过规定时速20%以上未达到50%的,机场北路0003KM535M,已处理,已交款,小型汽车
浙HHW719,150,6,2019-11-09 12:44,驾驶机动车违反道路交通信号灯通行的,（NQ）衢化路-荷四路南口,已处理,已交款,小型汽车
浙HHW719,150,3,2019-06-29 10:42,逆向行驶,人民大道与武安路,已处理,已交款,小型汽车
浙HHW719,200,6,2019-05-29 10:50,驾驶中型以上载客载货汽车、校车、危险物品运输车辆以外的其他机动车行驶超过规定时速20%以上未达到50%的,兰贺线0098KM800M（315省道石灰坛路段）,已处理,已交款,小型汽车
浙HHW719,50,0,2019-03-11 15:16,不按规定临时停车影响其他车辆和行人通行的,江山市区礼贤路(火车站广场),已处理,已交款,小型汽车
浙HHW719,200,6,2019-03-11 11:36,驾驶中型以上载客载货汽车、校车、危险物品运输车辆以外的其他机动车行驶超过规定时速20%以上未达到50%的,双江线0028KM600M（江家至黄泥塘）,已处理,已交款,小型汽车
浙HHW719,50,0,2018-12-14 15:43,不按规定临时停车影响其他车辆和行人通行的,江山市区江滨路(江滨路的北关路口至书院路口路段)人行道,已处理,已交款,小型汽车
浙HD05195,50,0,2020-09-14 10:29,机动车不按规定临时停车影响其他车辆和行人通行的,江山市区健身路健身路江滨路路口,已处理,已交款,小型新能源汽车
浙H6470R,150,6,2020-09-08 12:13,驾驶机动车违反道路交通信号灯通行的,西山路南二街路口,已处理,已交款,小型汽车
浙H6470R,100,3,2020-06-10 08:00,人行道不停车让行的,江山市环城南路平棋村委办公楼前路口不礼让行人,已处理,已交款,小型汽车
浙H6470R,50,0,2020-03-17 10:44,不按规定临时停车影响其他车辆和行人通行的,江山市区云宾路(云宾路鹿溪路口至县河东路路口路段),已处理,已交款,小型汽车
浙H6470R,50,0,2019-08-14 09:44,不按规定临时停车影响其他车辆和行人通行的,江山市区南三街(南三街航埠山路口至解放南路路口路段),已处理,已交款,小型汽车
浙H6470R,50,0,2019-07-31 16:44,不按规定临时停车影响其他车辆和行人通行的,江山市区虎山路(虎山路虎山三街路口至48省道入口路段),已处理,已交款,小型汽车
浙H6470R,100,2,2019-06-27 16:21,不按所需行进方向驶入导向车道的,凝秀北路-文教路北口,已处理,已交款,小型汽车
浙H6470R,200,3,2019-04-14 18:03,驾驶中型以上载客载货汽车、危险物品运输车辆以外的其他机动车行驶超过规定时速10%未达20%的,江山市江广线0007KM500M（平岗山路口）,已处理,已交款,小型汽车
浙H6470R,50,0,2019-04-05 06:11,不按规定临时停车影响其他车辆和行人通行的,江山市区云宾路菜市场门口（违停）,已处理,已交款,小型汽车
浙H6470R,200,0,2018-04-04 17:19,不按规定停车,荆州路进霍山路北约90米,已处理,已交款,小型汽车
浙H6470R,200,3,2018-03-16 18:06,违反禁令标志指示,沪闵高架东侧报春路1入口匝道,已处理,已交款,小型汽车
浙H6460V,50,2,2020-09-12 08:11,驾驶时拨打接听手持电话的,江东大道的景星东路路口,未处理,未交款,小型汽车
浙H6460V,50,0,2020-07-03 11:03,机动车不按规定临时停车影响其他车辆和行人通行的,江山市墩贺线13公里650米,已处理,已交款,小型汽车
浙H6460V,100,0,2020-02-07 09:43,机动车不在机动车道内行驶的,创新路的山海路路口,已处理,已交款,小型汽车
浙H6460V,100,2,2019-12-14 13:12,不按所需行进方向驶入导向车道的,江山经济开发区山海路与创业路路口北口,已处理,已交款,小型汽车
浙H6460V,100,2,2019-12-08 12:08,不按所需行进方向驶入导向车道的,江山市区鹿溪南路与环城南路路口西口,已处理,已交款,小型汽车
浙H6460V,50,0,2019-11-06 15:48,不按规定临时停车影响其他车辆和行人通行的,江山市区北泉街(北泉街安居路路口至凝秀路路口路段),已处理,已交款,小型汽车
浙H6460V,100,2,2019-08-19 09:13,不按所需行进方向驶入导向车道的,天马路-江滨路路口西口,已处理,已交款,小型汽车
浙H6460V,100,2,2019-02-24 10:59,不按所需行进方向驶入导向车道的,衢化东路-通衢街北口,已处理,已交款,小型汽车
浙H6460V,50,0,2019-01-14 14:48,不按规定临时停车影响其他车辆和行人通行的,江山市区江城北路(江城北路的民声路路口至鹿溪路路口路段),已处理,已交款,小型汽车
浙H6460V,100,2,2019-01-01 14:19,遇停止信号时，停在停止线以内或路口内的,定阳北路-天马路路口东口,已处理,已交款,小型汽车
浙H6462L,50,0,2020-09-02 14:30,机动车不按规定临时停车影响其他车辆和行人通行的,江山市区云宾路云宾路鹿溪路口至县河东路路口路段,已处理,已交款,小型汽车
浙H6462L,200,3,2020-09-01 15:58,机动车逆向行驶的,站前大道礼贤路（出站）路口,已处理,已交款,小型汽车
浙H6462L,50,0,2020-01-09 09:57,不按规定临时停车影响其他车辆和行人通行的,江山市贺村镇贺滨路与中心街路口,已处理,已交款,小型汽车
浙H6462L,100,3,2019-12-18 09:06,人行道不停车让行的,江山市区解放路(解放路城中路路口至雪泉街路口路段),已处理,已交款,小型汽车
浙H6462L,50,0,2019-12-06 09:36,不按规定临时停车影响其他车辆和行人通行的,江山市区白渡路(白渡路江滨路路口至鹿溪路路口路段),已处理,已交款,小型汽车
浙H6462L,50,0,2019-06-26 15:32,不按规定临时停车影响其他车辆和行人通行的,江山市区南门路(南门路南三街路口至南门路南二街路口路段),已处理,已交款,小型汽车
浙H6462L,100,2,2019-06-08 17:11,不按所需行进方向驶入导向车道的,凝秀北路-文教路南口,已处理,已交款,小型汽车
浙H6462L,50,0,2019-04-12 10:51,不按规定临时停车影响其他车辆和行人通行的,江山市区南门路(南门路景星路路口至南门路南三街路口路段),已处理,已交款,小型汽车
浙H6462L,50,0,2019-04-04 15:51,不按规定临时停车影响其他车辆和行人通行的,江山市区东岳路(东岳路虎山三街路口至虎山四街路口路段),已处理,已交款,小型汽车
浙H6462L,200,3,2018-11-01 20:22,机动车逆向行驶的,朝阳路-定阳南路路口西口,已处理,已交款,小型汽车
浙H6461F,150,6,2020-07-08 10:37,驾驶机动车违反道路交通信号灯通行的,解放南路南一街路口,已处理,已交款,小型汽车
浙H6461F,50,0,2020-01-20 09:19,不按规定临时停车影响其他车辆和行人通行的,江山市区景星西路(景星西路农贸路路口),已处理,已交款,小型汽车
浙H6461F,0,0,2019-12-13 15:27,驾驶机动车在限速低于60公里/小时的公路上超过规定车速50%以下的,常新线0013桩000m,已处理,无需交款,小型汽车
浙H6461F,100,3,2019-12-04 14:46,机动车违反禁令标志指示的,文峰东路与白马路路口,已处理,已交款,小型汽车
浙H6461F,0,0,2019-11-25 20:34,驾驶机动车在限速低于60公里/小时的公路上超过规定车速50%以下的,常新线0013桩000m,已处理,无需交款,小型汽车
浙H6461F,200,3,2019-09-09 10:19,驾驶中型以上载客载货汽车、危险物品运输车辆以外的其他机动车行驶超过规定时速10%未达20%的,山深线1820KM200M（205国道贺村镇诗坊村路段）,已处理,已交款,小型汽车
浙H6461F,100,3,2019-08-01 09:56,机动车违反禁令标志指示的,云宾路-民声路,已处理,已交款,小型汽车
浙H6461F,50,0,2019-02-10 08:28,不按规定临时停车影响其他车辆和行人通行的,江山市石门镇溪底新街与经一路路口（违停）,已处理,已交款,小型汽车
浙H6461F,50,0,2018-12-07 10:25,不按规定临时停车影响其他车辆和行人通行的,江山市区云宾路(云宾路鹿溪路口至县河东路路口路段),已处理,已交款,小型汽车
浙H6461F,50,0,2018-06-07 16:36,"在高速公路或城市快速路以外的道路上行驶时,驾驶人未按规定使用安全带的",江山市区北泉路(北泉路凝秀路路口至礼贤路路口路段),已处理,已交款,小型汽车
浙H6470S,200,3,2020-04-30 08:34,驾驶中型以上载客载货汽车、危险物品运输车辆以外的其他机动车行驶超过规定时速10%未达20%的,山深线1834公里920米贺村镇乌鹰垄村路口,已处理,已交款,小型汽车
浙H6470S,200,3,2020-04-23 09:59,驾驶中型以上载客载货汽车、危险物品运输车辆以外的其他机动车行驶超过规定时速10%未达20%的,山深线1834公里920米贺村镇乌鹰垄村路口,已处理,已交款,小型汽车
浙H6470S,50,0,2019-09-26 09:16,不按规定临时停车影响其他车辆和行人通行的,江山市区城中路(城中路解放路路口至鹿溪路路口路段),已处理,已交款,小型汽车
浙H6470S,50,0,2019-08-28 14:35,不按规定临时停车影响其他车辆和行人通行的,江山市区城中路(城中路解放路路口至鹿溪路路口路段),已处理,已交款,小型汽车
浙H6470S,50,0,2019-08-15 13:11,不按规定临时停车影响其他车辆和行人通行的,贺村镇墩贺线-贺康路,已处理,已交款,小型汽车
浙H6470S,0,0,2019-07-28 12:59,驾驶机动车在限速低于60公里/小时的公路上超过规定车速50%以下的,常新线0013桩000m,已处理,无需交款,小型汽车
浙H6470S,0,0,2019-07-26 09:33,驾驶机动车在限速低于60公里/小时的公路上超过规定车速50%以下的,常新线0013桩000m,已处理,无需交款,小型汽车
浙H6470S,200,0,2018-06-24 16:08,不按规定停车,梦花街进中华路东约5米,已处理,已交款,小型汽车
浙H6470S,100,2,2018-03-16 11:51,不按所需行进方向驶入导向车道的,昌盛路茶园路路口,已处理,已交款,小型汽车
浙H6463S,50,0,2019-04-18 14:45,不按规定临时停车影响其他车辆和行人通行的,77323柚香路-东河北街路口违停球,已处理,已交款,小型汽车
浙H6463S,50,0,2019-03-09 16:04,不按规定临时停车影响其他车辆和行人通行的,红旗路（农业银行门口）违停抓拍,已处理,已交款,小型汽车
浙H6463S,50,0,2018-11-05 07:59,不按规定临时停车影响其他车辆和行人通行的,云宾菜市场,已处理,已交款,小型汽车
浙H6463S,50,0,2018-07-16 08:43,不按规定临时停车影响其他车辆和行人通行的,江山市区南门路(南门路南一街路口),已处理,已交款,小型汽车
浙H6463S,200,6,2018-04-21 08:59,驾驶中型以上载客载货汽车、校车、危险物品运输车辆以外的其他机动车行驶超过规定时速20%以上未达到50%的,山深线1812KM150M（205国道祝家路口）,已处理,已交款,小型汽车
浙H6463S,200,6,2018-04-15 12:16,驾驶中型以上载客载货汽车、校车、危险物品运输车辆以外的其他机动车行驶超过规定时速20%以上未达到50%的,山深线1812KM150M（205国道祝家路口）,已处理,已交款,小型汽车
浙H6463S,100,3,2018-02-12 13:22,机动车违反禁令标志指示的,锦绣府园南侧道路西口(单行线),已处理,已交款,小型汽车
浙H6463S,100,3,2018-01-08 13:33,机动车违反禁止标线指示的,江山市鹿溪路-文教路东口,已处理,已交款,小型汽车
浙H6463V,100,3,2020-03-15 16:21,机动车违反禁令标志指示的,江山市区鹿溪南路(鹿溪南路的环城南路路口至城中路路口路段),未处理,未交款,小型汽车
浙H6463V,0,0,2020-03-10 10:20,驾驶中型以上载客载货汽车、危险物品运输车辆以外的机动车超过规定时速10%以下的,常新线013公里,已处理,无需交款,小型汽车
浙H6463V,200,6,2020-03-10 06:47,驾驶中型以上载客载货汽车、校车、危险物品运输车辆以外的其他机动车行驶超过规定时速20%以上未达到50%的,江溪线(S221)14公里615米大陈乡大陈村乡政府门口路段,已处理,已交款,小型汽车
浙H6463V,200,6,2020-03-02 08:15,驾驶中型以上载客载货汽车、校车、危险物品运输车辆以外的其他机动车行驶超过规定时速20%以上未达到50%的,江溪线(S221)14公里615米大陈乡大陈村乡政府门口路段,未处理,未交款,小型汽车
浙H6463V,0,0,2019-05-05 14:45,驾驶机动车在限速低于60公里/小时的公路上超过规定车速50%以下的,常新线0013桩000m,已处理,无需交款,小型汽车
浙H6463V,50,0,2019-02-19 16:02,不按规定临时停车影响其他车辆和行人通行的,江山市上余镇龙溪路（违停）,已处理,已交款,小型汽车
浙H6463V,50,0,2018-09-10 14:35,不按规定临时停车影响其他车辆和行人通行的,江山市区南门路(南门路南一街路口至南门路南市街路口路段),已处理,已交款,小型汽车
浙H6463V,50,0,2018-06-07 14:34,"在高速公路或城市快速路以外的道路上行驶时,驾驶人未按规定使用安全带的",山深线1806KM600M,已处理,已交款,小型汽车
浙H6463V,50,0,2018-02-26 10:18,不按规定临时停车影响其他车辆和行人通行的,江山市区解放路(解放路城中路路口至雪泉街路口路段)人行道,已处理,已交款,小型汽车
浙H6463V,100,3,2018-02-23 07:45,机动车违反禁令标志指示的,云宾路-民声路,已处理,已交款,小型汽车
浙H6460M,100,3,2019-06-25 05:47,机动车违反禁令标志指示的,云宾路-民声路,已处理,已交款,小型汽车
浙H6460M,50,0,2019-06-19 16:32,不按规定临时停车影响其他车辆和行人通行的,江山市区中山路(中山路环城西路路口至解放路路口路段),已处理,已交款,小型汽车
浙H6460M,100,2,2019-04-28 00:41,不按所需行进方向驶入导向车道的,凝秀北路-文教路北口,已处理,已交款,小型汽车
浙H6460M,50,0,2019-04-09 14:25,不按规定临时停车影响其他车辆和行人通行的,江山市区景星西路(景星西路虎山路口至农贸路路口路段),已处理,已交款,小型汽车
浙H6460M,150,6,2019-02-28 17:43,驾驶机动车违反道路交通信号灯通行的,朱富线-常文线路口东口,已处理,已交款,小型汽车
浙H6460M,100,3,2018-12-13 11:12,机动车违反禁止标线指示的,江山市解放路-环城南路路口北口,已处理,已交款,小型汽车
浙H6460M,200,3,2018-11-01 10:42,驾驶中型以上载客载货汽车、危险物品运输车辆以外的其他机动车行驶超过规定时速10%未达20%的,山深线1812KM150M（205国道祝家路口）,已处理,已交款,小型汽车
浙H6460M,150,0,2018-04-28 10:23,不按规定停放影响其他车辆和行人通行的,三衢路(三衢路荷花中路衢化路路段),已处理,已交款,小型汽车
浙H6460M,100,3,2018-04-28 00:59,机动车违反禁令标志指示的,清莲里南口,已处理,已交款,小型汽车
浙H6461N,100,2,2020-05-11 14:09,不按所需行进方向驶入导向车道的,新区路万有大道至恒泰路,已处理,已交款,小型汽车
浙H6461N,100,2,2019-11-07 14:40,不按所需行进方向驶入导向车道的,朝阳路-文教路路口东口,已处理,已交款,小型汽车
浙H6461N,200,3,2019-07-07 10:14,驾驶中型以上载客载货汽车、危险物品运输车辆以外的其他机动车行驶超过规定时速10%未达20%的,山深线1778KM400M（205国道鳌头村路段）,已处理,已交款,小型汽车
浙H6461N,100,3,2019-05-22 14:38,机动车违反禁令标志指示的,云宾路-民声路,已处理,已交款,小型汽车
浙H6461N,200,3,2019-03-08 11:23,驾驶中型以上载客载货汽车、危险物品运输车辆以外的其他机动车行驶超过规定时速10%未达20%的,山深线1812KM150M（205国道祝家路口）,已处理,已交款,小型汽车
浙H6461N,50,0,2018-07-23 14:58,不按规定临时停车影响其他车辆和行人通行的,江山市区北泉街(北泉街安居路路口至凝秀路路口路段),已处理,已交款,小型汽车
浙H6461N,200,3,2018-07-13 16:13,驾驶中型以上载客载货汽车、危险物品运输车辆以外的其他机动车行驶超过规定时速10%未达20%的,文教西路(徐村路段),已处理,已交款,小型汽车
浙H6461N,50,0,2018-06-27 11:10,不按规定临时停车影响其他车辆和行人通行的,江山市区南三街(南三街解放南路路口至南门路口路段)人行道,已处理,已交款,小型汽车
浙H6461N,50,0,2018-06-06 14:29,驾驶机动车行驶时以手持方式使用电话的,江山市小贺线0006KM400M,已处理,已交款,小型汽车
浙H6467Z,150,6,2020-06-27 19:34,驾驶机动车违反道路交通信号灯通行的,江滨南路的江电路路口,已处理,已交款,小型汽车
浙H6467Z,100,3,2020-06-05 08:43,违反禁令标志指示,北关路民声路,已处理,已交款,小型汽车
浙H6467Z,100,3,2020-05-29 14:07,机动车违反禁止标线指示的,江滨路的城中路路口,已处理,已交款,小型汽车
浙H6467Z,50,0,2019-08-15 13:22,"在高速公路或城市快速路以外的道路上行驶时,驾驶人未按规定使用安全带的",江山市水张线0018KM400M,已处理,已交款,小型汽车
浙H6467Z,150,6,2019-07-07 16:44,驾驶机动车违反道路交通信号灯通行的,环城西路-中山路北口,已处理,已交款,小型汽车
浙H6467Z,100,2,2019-07-07 12:41,不按所需行进方向驶入导向车道的,凝秀北路-文教路南口,已处理,已交款,小型汽车
浙H6467Z,50,0,2019-02-23 14:10,不按规定临时停车影响其他车辆和行人通行的,解放路-城中路,已处理,已交款,小型汽车
浙H6467Z,150,0,2018-10-15 11:29,不按规定停放影响其他车辆和行人通行的,江山市区解放路(解放路中山路路口至城中路路口路段),已处理,已交款,小型汽车
浙H6467Z,50,0,2018-07-03 14:40,不按规定临时停车影响其他车辆和行人通行的,江山市区南门路(南门路南一街路口至南门路南市街路口路段),已处理,已交款,小型汽车
浙H6467Z,150,6,2018-03-30 08:09,驾驶机动车违反道路交通信号灯通行的,贺滨路-大成路西口,已处理,已交款,小型汽车
浙H6461Y,150,0,2020-06-21 19:52,机动车违反规定停放，驾驶人不在现场或虽在现场但拒绝立即驶离，妨碍其他车辆、行人通行的,江山市区江东大道江东二街253号门前路段,已处理,已交款,小型汽车
浙H6461Y,50,0,2020-05-21 16:03,机动车不按规定临时停车影响其他车辆和行人通行的,江山市区航埠山路航埠山路的南一街路口,已处理,已交款,小型汽车
浙H6461Y,100,3,2019-12-09 09:50,机动车违反禁令标志指示的,（NQ）清莲里南口,已处理,已交款,小型汽车
浙H6461Y,50,0,2019-11-09 16:44,不按规定临时停车影响其他车辆和行人通行的,杜泽镇铜山溪西路段违停,已处理,已交款,小型汽车
浙H6461Y,50,0,2019-11-03 09:07,不按规定临时停车影响其他车辆和行人通行的,天马路清河路路口路段,已处理,已交款,小型汽车
浙H6461Y,150,6,2019-10-14 08:46,驾驶机动车违反道路交通信号灯通行的,朝阳路-富足山村路口东口,已处理,已交款,小型汽车
浙H6461Y,200,3,2019-10-12 13:52,机动车逆向行驶的,文教路-夺煤路北口,已处理,已交款,小型汽车
浙H6461Y,100,2,2019-10-10 14:21,不按所需行进方向驶入导向车道的,文教路-金川大桥北路口西口,已处理,已交款,小型汽车
浙H6461Y,50,0,2019-09-30 14:24,不按规定临时停车影响其他车辆和行人通行的,大桥路（邮政储蓄银行门口）违停抓拍,已处理,已交款,小型汽车
浙H6461Y,100,3,2019-09-29 16:03,机动车违反禁止标线指示的,万友大道-新区路西口,已处理,已交款,小型汽车
浙H6471L,100,3,2020-07-04 09:27,人行道不停车让行的,江山市区环城西路环城西路城中路路口至雪泉街路口路段,已处理,已交款,小型汽车
浙H6471L,150,6,2020-07-02 12:55,驾驶机动车违反道路交通信号灯通行的,鹿溪北路的文苑路路口,已处理,已交款,小型汽车
浙H6471L,50,0,2020-01-19 15:56,不按规定临时停车影响其他车辆和行人通行的,江山市区北环路(北环路凝秀路路口至礼贤路路口路段),已处理,已交款,小型汽车
浙H6471L,50,0,2019-10-11 16:24,"在高速公路或城市快速路以外的道路上行驶时,驾驶人未按规定使用安全带的",双江线0031KM300M,已处理,已交款,小型汽车
浙H6471L,100,2,2019-06-23 19:04,不按所需行进方向驶入导向车道的,（CQ）礼贤街-劳动路东口,已处理,已交款,小型汽车
浙H6471L,100,2,2019-06-13 07:05,不按所需行进方向驶入导向车道的,江山市区鹿溪北路站前大道路口南口,已处理,已交款,小型汽车
浙H6471L,150,0,2019-04-28 10:03,不按规定停放影响其他车辆和行人通行的,荷花一路(荷花一路荷花中路与衢化路路段),已处理,已交款,小型汽车
浙H6471L,100,2,2019-04-17 14:19,不按所需行进方向驶入导向车道的,滨江南路-经四路路口南口,已处理,已交款,小型汽车
浙H6471L,200,3,2019-01-10 06:29,驾驶中型以上载客载货汽车、危险物品运输车辆以外的其他机动车行驶超过规定时速10%未达20%的,山深线1795KM800M（205国道石排山路口）,已处理,已交款,小型汽车
浙H6471L,50,0,2018-07-23 09:27,不按规定临时停车影响其他车辆和行人通行的,东河北街-天马路路段,已处理,已交款,小型汽车
浙H6461Z,200,3,2020-06-30 19:44,违反禁令标志指示,糖酒至博士大道100米,已处理,已交款,小型汽车
浙H6461Z,100,3,2019-11-18 14:03,人行道不停车让行的,江山市区环城西路(环城西路城中路路口至雪泉街路口路段),已处理,已交款,小型汽车
浙H6461Z,50,0,2019-06-10 17:45,不按规定临时停车影响其他车辆和行人通行的,贺村镇贺康路-中心南街,已处理,已交款,小型汽车
浙H6461Z,100,3,2019-01-15 09:16,人行道不停车让行的,江山市区鹿溪路(鹿溪路书院路路口至北环路路口路段),已处理,已交款,小型汽车
浙H6461Z,150,0,2018-10-23 19:55,不按规定停车,解放路天龙广场路口10米,已处理,已交款,小型汽车
浙H6461Z,100,6,2018-09-21 12:59,驾驶中型以上载客载货汽车、校车、危险物品运输车辆以外的其他机动车行驶超过规定时速20%以上未达到50%的,新岗山-仙岩0106公里000米,已处理,已交款,小型汽车
浙H6461Z,50,0,2018-06-13 09:22,不按规定临时停车影响其他车辆和行人通行的,江山市区南门路(南门路南一街路口至南门路南市街路口路段),已处理,已交款,小型汽车
浙H6461Z,50,0,2018-06-06 11:21,不按规定临时停车影响其他车辆和行人通行的,江山市区云宾路(云宾路鹿溪路口至县河东路路口路段),已处理,已交款,小型汽车
浙H6461Z,100,2,2018-01-30 18:23,不按所需行进方向驶入导向车道的,江山市站前大道凝秀北路口东口,已处理,已交款,小型汽车
浙H6461Z,200,3,2018-01-04 11:54,机动车逆向行驶的,江山市解放路-环城南路路口北口,已处理,已交款,小型汽车
浙H6467J,50,0,2020-06-15 20:22,机动车不按规定临时停车影响其他车辆和行人通行的,77323柚香路-东河北街路口违停球,已处理,已交款,小型汽车
浙H6467J,100,3,2020-01-10 15:41,机动车违反禁令标志指示的,大桥路-实验小学门口南口,已处理,已交款,小型汽车
浙H6467J,200,6,2019-11-20 14:57,驾驶中型以上载客载货汽车、校车、危险物品运输车辆以外的其他机动车行驶超过规定时速20%以上未达到50%的,石华线连接线（三江西路）郑云村路口,已处理,已交款,小型汽车
浙H6467J,200,6,2019-11-19 19:20,驾驶中型以上载客载货汽车、校车、危险物品运输车辆以外的其他机动车行驶超过规定时速20%以上未达到50%的,石华线0005KM750M里前坞村路段,已处理,已交款,小型汽车
浙H6467J,200,3,2019-09-15 12:39,违反禁令标志指示,糖酒至博士大道100米,已处理,已交款,小型汽车
浙H6467J,100,2,2019-07-06 10:43,不按所需行进方向驶入导向车道的,江山市区鹿溪北路站前大道路口南口,已处理,已交款,小型汽车
浙H6467J,100,2,2019-05-04 07:14,不按所需行进方向驶入导向车道的,凝秀北路-文教路东口,已处理,已交款,小型汽车
浙H6467J,50,0,2019-04-15 15:31,不按规定临时停车影响其他车辆和行人通行的,江山市区解放南路(解放南路南市街路口至环城南路路口路段),已处理,已交款,小型汽车
浙H6467J,100,3,2018-06-29 14:56,机动车违反禁令标志指示的,锦绣府园南侧道路西口(单行线),已处理,已交款,小型汽车
浙H6467J,200,6,2018-05-06 18:02,驾驶中型以上载客载货汽车、校车、危险物品运输车辆以外的其他机动车行驶超过规定时速20%以上未达到50%的,兰贺线0110KM600M（315省道源口大桥）,已处理,已交款,小型汽车
浙H6462T,100,2,2020-04-01 14:49,不按所需行进方向驶入导向车道的,夺煤路路口,已处理,已交款,小型汽车
浙H6462T,150,0,2020-02-27 14:39,不按规定停放影响其他车辆和行人通行的,常山大街美丽照相馆门口,已处理,已交款,小型汽车
浙H6462T,50,0,2019-09-19 11:19,不按规定临时停车影响其他车辆和行人通行的,江山市区城中路(城中路解放路路口至鹿溪路路口路段),已处理,已交款,小型汽车
浙H6462T,100,2,2019-04-23 15:46,不按所需行进方向驶入导向车道的,天马路-江滨路路口西口,已处理,已交款,小型汽车
浙H6462T,100,3,2018-10-19 08:45,机动车违反禁止标线指示的,天马路-江滨路路口西口,已处理,已交款,小型汽车
浙H6462T,200,6,2018-05-28 15:47,驾驶中型以上载客载货汽车、校车、危险物品运输车辆以外的其他机动车行驶超过规定时速20%以上未达到50%的,双江线0023KM800M（四都上峰村路口）,已处理,已交款,小型汽车
浙H6462T,200,3,2018-03-28 01:52,驾驶中型以上载客载货汽车、危险物品运输车辆以外的其他机动车行驶超过规定时速10%未达20%的,山深线1812KM150M（205国道祝家路口）,已处理,已交款,小型汽车
浙H6462T,150,6,2018-03-14 06:58,驾驶机动车违反道路交通信号灯通行的,江山市站前大道鹿溪北路口西口,已处理,已交款,小型汽车
